问题ID,变量数,约束数,层数,最佳解概率(%),满足约束概率(%),ARG,平均成本,迭代次数
4vars_1cons_20251210_151158_701,4,1,1,100.0,100.0,0.0,0.0,24
4vars_1cons_20251210_151158_701,4,1,2,0.0,98.53515625,767980078125.0,-7679.80078125,48
4vars_1cons_20251210_151158_701,4,1,3,100.0,100.0,0.0,0.0,81
4vars_1cons_20251210_151158_701,4,1,4,0.0,97.75390625,1177577148437.5,-11775.771484375,97
4vars_1cons_20251210_151158_701,4,1,5,0.0,99.51171875,255995117187.5,-2559.951171875,108
4vars_1cons_20251210_151158_701,4,1,6,0.0,99.70703125,153596679687.5,-1535.966796875,126
4vars_1cons_20251210_151158_701,4,1,7,0.0,96.484375,1843157617187.5,-18431.576171875,136
4vars_1cons_20251210_151158_517,4,1,1,0.0,100.0,0.3888888887,11.0,24
4vars_1cons_20251210_151158_517,4,1,2,0.0,100.0,0.3888888887,11.0,55
4vars_1cons_20251210_151158_517,4,1,3,0.0,99.8046875,31.999403194,-557.9892578125,73
4vars_1cons_20251210_151158_517,4,1,4,100.0,100.0,0.0,18.0,89
4vars_1cons_20251210_151158_517,4,1,5,0.0,93.5546875,1055.989040212,-18989.802734375,91
4vars_1cons_20251210_151158_517,4,1,6,0.0,99.8046875,32.3871527598,-564.96875,134
4vars_1cons_20251210_151158_517,4,1,7,0.0,99.21875,127.9960936789,-2285.9296875,159
4vars_1cons_20251210_151158_220,4,1,1,0.0,100.0,1.1666666657,-2.0,26
4vars_1cons_20251210_151158_220,4,1,2,0.0,94.43359375,153.1813149765,-1826.17578125,47
4vars_1cons_20251210_151158_220,4,1,3,0.0,57.51953125,1203.8497711322,-14434.197265625,65
4vars_1cons_20251210_151158_220,4,1,4,0.0,85.7421875,497.1672359138,-5954.0068359375,82
4vars_1cons_20251210_151158_220,4,1,5,0.0,12.3046875,2395.7420227431,-28736.904296875,112
4vars_1cons_20251210_151158_220,4,1,6,0.0,18.1640625,2236.4817689696,-26825.78125,120
4vars_1cons_20251210_151158_220,4,1,7,0.0,84.47265625,489.1810705559,-5858.1728515625,139
4vars_2cons_20251210_151158_114,4,2,1,100.0,100.0,0.0,12.0,26
4vars_2cons_20251210_151158_114,4,2,2,0.0,78.7109375,9933.000968285,-119184.01171875,50
4vars_2cons_20251210_151158_114,4,2,3,0.0,48.046875,14626.0273315616,-175500.328125,67
4vars_2cons_20251210_151158_114,4,2,4,0.0,99.70703125,71.9965819713,-851.958984375,74
4vars_2cons_20251210_151158_114,4,2,5,0.0,62.6953125,9386.2275312406,-112622.73046875,102
4vars_2cons_20251210_151158_114,4,2,6,0.0,85.3515625,3927.8232389143,-47121.87890625,107
4vars_2cons_20251210_151158_114,4,2,7,0.0,98.33984375,517.3120112877,-6195.744140625,157
4vars_1cons_20251210_151158_248,4,1,1,100.0,100.0,0.0,-5.0,22
4vars_1cons_20251210_151158_248,4,1,2,0.0,34.66796875,4460.7882901716,-22308.94140625,52
4vars_1cons_20251210_151158_248,4,1,3,0.0,80.078125,1478.3902373318,-7396.951171875,74
4vars_1cons_20251210_151158_248,4,1,4,0.0,57.71484375,3129.5765687592,-15652.8828125,77
4vars_1cons_20251210_151158_248,4,1,5,0.0,81.93359375,1184.000002368,-5925.0,119
4vars_1cons_20251210_151158_248,4,1,6,0.0,75.87890625,1651.1957064274,-8260.978515625,123
4vars_1cons_20251210_151158_248,4,1,7,0.0,92.48046875,492.8000009856,-2469.0,131
4vars_1cons_20251210_151158_330,4,1,1,100.0,100.0,0.0,-3.0,28
4vars_1cons_20251210_151158_330,4,1,2,0.0,99.8046875,21.3294271544,-66.98828125,63
4vars_1cons_20251210_151158_330,4,1,3,0.0,99.90234375,10.6647135772,-34.994140625,70
4vars_1cons_20251210_151158_330,4,1,4,100.0,100.0,0.0,-3.0,77
4vars_1cons_20251210_151158_330,4,1,5,0.0,97.8515625,266.6240243262,-802.8720703125,110
4vars_1cons_20251210_151158_330,4,1,6,0.0,98.14453125,522.6328142421,-1570.8984375,109
4vars_1cons_20251210_151158_330,4,1,7,0.0,98.4375,202.635742863,-610.9072265625,135
4vars_1cons_20251210_151158_843,4,1,1,0.0,0.0,16384.4999180775,-32767.0,21
4vars_1cons_20251210_151158_843,4,1,2,0.0,99.90234375,143.998046155,-285.99609375,47
4vars_1cons_20251210_151158_843,4,1,3,0.0,87.01171875,9503.5683118572,-19005.13671875,58
4vars_1cons_20251210_151158_843,4,1,4,0.0,96.97265625,1983.8940330493,-3965.7880859375,78
4vars_1cons_20251210_151158_843,4,1,5,0.0,0.0,16960.4769659789,-33918.9541015625,106
4vars_1cons_20251210_151158_843,4,1,6,0.0,0.0,17712.3998137818,-35422.7998046875,118
4vars_1cons_20251210_151158_843,4,1,7,0.0,94.53125,4143.8188269372,-8285.6376953125,141
4vars_2cons_20251210_151158_499,4,2,1,100.0,100.0,0.0,9.0,13
4vars_2cons_20251210_151158_499,4,2,2,100.0,100.0,0.0,9.0,25
4vars_2cons_20251210_151158_499,4,2,3,100.0,100.0,0.0,9.0,37
4vars_2cons_20251210_151158_499,4,2,4,100.0,100.0,0.0,9.0,49
4vars_2cons_20251210_151158_499,4,2,5,100.0,100.0,0.0,9.0,61
4vars_2cons_20251210_151158_499,4,2,6,100.0,100.0,0.0,9.0,73
4vars_2cons_20251210_151158_499,4,2,7,100.0,100.0,0.0,9.0,85
4vars_2cons_20251210_151158_191,4,2,1,100.0,100.0,0.0,8.0,13
4vars_2cons_20251210_151158_191,4,2,2,100.0,100.0,0.0,8.0,25
4vars_2cons_20251210_151158_191,4,2,3,100.0,100.0,0.0,8.0,37
4vars_2cons_20251210_151158_191,4,2,4,100.0,100.0,0.0,8.0,49
4vars_2cons_20251210_151158_191,4,2,5,100.0,100.0,0.0,8.0,61
4vars_2cons_20251210_151158_191,4,2,6,100.0,100.0,0.0,8.0,73
4vars_2cons_20251210_151158_191,4,2,7,100.0,100.0,0.0,8.0,85
4vars_2cons_20251210_151158_728,4,2,1,100.0,100.0,0.0,12.0,13
4vars_2cons_20251210_151158_728,4,2,2,100.0,100.0,0.0,12.0,25
4vars_2cons_20251210_151158_728,4,2,3,100.0,100.0,0.0,12.0,37
4vars_2cons_20251210_151158_728,4,2,4,100.0,100.0,0.0,12.0,49
4vars_2cons_20251210_151158_728,4,2,5,100.0,100.0,0.0,12.0,61
4vars_2cons_20251210_151158_728,4,2,6,100.0,100.0,0.0,12.0,73
4vars_2cons_20251210_151158_728,4,2,7,100.0,100.0,0.0,12.0,85
4vars_1cons_20251210_151158_491,4,1,1,0.0,99.8046875,127.9946295462,-257.9892578125,31
4vars_1cons_20251210_151158_491,4,1,2,0.0,99.90234375,63.9995120387,-129.9990234375,47
4vars_1cons_20251210_151158_491,4,1,3,0.0,90.52734375,6595.104525163,-13192.208984375,73
4vars_1cons_20251210_151158_491,4,1,4,0.0,98.33984375,1088.4663140361,-2178.9326171875,76
4vars_1cons_20251210_151158_491,4,1,5,0.0,97.75390625,1472.7890698639,-2947.578125,93
4vars_1cons_20251210_151158_491,4,1,6,0.0,99.609375,256.7124036273,-515.4248046875,129
4vars_1cons_20251210_151158_491,4,1,7,0.0,85.64453125,9794.5908692855,-19591.181640625,140
4vars_1cons_20251210_151158_912,4,1,1,0.0,99.51171875,91.4202010235,-646.94140625,31
4vars_1cons_20251210_151158_912,4,1,2,0.0,99.609375,73.1361608188,-518.953125,59
4vars_1cons_20251210_151158_912,4,1,3,100.0,100.0,0.0,-7.0,60
4vars_1cons_20251210_151158_912,4,1,4,0.0,99.8046875,36.5680804094,-262.9765625,92
4vars_1cons_20251210_151158_912,4,1,5,0.0,99.8046875,36.5680804094,-262.9765625,91
4vars_1cons_20251210_151158_912,4,1,6,0.0,99.70703125,54.8521206141,-390.96484375,106
4vars_1cons_20251210_151158_912,4,1,7,100.0,100.0,0.0,-7.0,123
4vars_2cons_20251210_151158_609,4,2,1,100.0,100.0,0.0,2.0,13
4vars_2cons_20251210_151158_609,4,2,2,100.0,100.0,0.0,2.0,25
4vars_2cons_20251210_151158_609,4,2,3,100.0,100.0,0.0,2.0,37
4vars_2cons_20251210_151158_609,4,2,4,100.0,100.0,0.0,2.0,49
4vars_2cons_20251210_151158_609,4,2,5,100.0,100.0,0.0,2.0,61
4vars_2cons_20251210_151158_609,4,2,6,100.0,100.0,0.0,2.0,73
4vars_2cons_20251210_151158_609,4,2,7,100.0,100.0,0.0,2.0,85
4vars_3cons_20251210_151158_398,4,3,1,100.0,100.0,0.0,-9.0,21
4vars_3cons_20251210_151158_398,4,3,2,0.0,99.51171875,5208.7250491903,-46887.525390625,42
4vars_3cons_20251210_151158_398,4,3,3,0.0,99.90234375,1041.7450098381,-9384.705078125,68
4vars_3cons_20251210_151158_398,4,3,4,100.0,100.0,0.0,-9.0,68
4vars_3cons_20251210_151158_398,4,3,5,100.0,100.0,0.0,-9.0,95
4vars_3cons_20251210_151158_398,4,3,6,0.0,99.8046875,2083.4900196761,-18760.41015625,115
4vars_3cons_20251210_151158_398,4,3,7,100.0,100.0,0.0,-9.0,117
4vars_3cons_20251210_151158_359,4,3,1,100.0,100.0,0.0,0.0,13
4vars_3cons_20251210_151158_359,4,3,2,100.0,100.0,0.0,0.0,25
4vars_3cons_20251210_151158_359,4,3,3,100.0,100.0,0.0,0.0,37
